Mod:Item:MetaData, Localized Name
gregtech:gt.blockmachines:485, gt.blockmachines.basicmachine.replicator.tier.05.name
gregtech:gt.blockmachines:486, gt.blockmachines.basicmachine.replicator.tier.06.name
gregtech:gt.blockmachines:487, gt.blockmachines.basicmachine.replicator.tier.07.name
gregtech:gt.blockmachines:488, gt.blockmachines.basicmachine.replicator.tier.08.name
gregtech:gt.blockmachines:491, gt.blockmachines.basicmachine.brewery.tier.01.name
gregtech:gt.blockmachines:492, gt.blockmachines.basicmachine.brewery.tier.02.name
gregtech:gt.blockmachines:493, gt.blockmachines.basicmachine.brewery.tier.03.name
gregtech:gt.blockmachines:494, gt.blockmachines.basicmachine.brewery.tier.04.name
gregtech:gt.blockmachines:495, gt.blockmachines.basicmachine.brewery.tier.05.name
gregtech:gt.blockmachines:496, gt.blockmachines.basicmachine.brewery.tier.06.name
gregtech:gt.blockmachines:497, gt.blockmachines.basicmachine.brewery.tier.07.name
gregtech:gt.blockmachines:498, gt.blockmachines.basicmachine.brewery.tier.08.name
gregtech:gt.blockmachines:501, gt.blockmachines.basicmachine.fermenter.tier.01.name
gregtech:gt.blockmachines:502, gt.blockmachines.basicmachine.fermenter.tier.02.name
gregtech:gt.blockmachines:503, gt.blockmachines.basicmachine.fermenter.tier.03.name
gregtech:gt.blockmachines:504, gt.blockmachines.basicmachine.fermenter.tier.04.name
gregtech:gt.blockmachines:505, gt.blockmachines.basicmachine.fermenter.tier.05.name
gregtech:gt.blockmachines:506, gt.blockmachines.basicmachine.fermenter.tier.06.name
gregtech:gt.blockmachines:507, gt.blockmachines.basicmachine.fermenter.tier.07.name
gregtech:gt.blockmachines:508, gt.blockmachines.basicmachine.fermenter.tier.08.name
gregtech:gt.blockmachines:511, gt.blockmachines.basicmachine.fluidextractor.tier.01.name
gregtech:gt.blockmachines:512, gt.blockmachines.basicmachine.fluidextractor.tier.02.name
gregtech:gt.blockmachines:513, gt.blockmachines.basicmachine.fluidextractor.tier.03.name
gregtech:gt.blockmachines:514, gt.blockmachines.basicmachine.fluidextractor.tier.04.name
gregtech:gt.blockmachines:515, gt.blockmachines.basicmachine.fluidextractor.tier.05.name
gregtech:gt.blockmachines:516, gt.blockmachines.basicmachine.fluidextractor.tier.06.name
gregtech:gt.blockmachines:517, gt.blockmachines.basicmachine.fluidextractor.tier.07.name
gregtech:gt.blockmachines:518, gt.blockmachines.basicmachine.fluidextractor.tier.08.name
gregtech:gt.blockmachines:521, gt.blockmachines.basicmachine.fluidsolidifier.tier.01.name
gregtech:gt.blockmachines:522, gt.blockmachines.basicmachine.fluidsolidifier.tier.02.name
gregtech:gt.blockmachines:523, gt.blockmachines.basicmachine.fluidsolidifier.tier.03.name
gregtech:gt.blockmachines:524, gt.blockmachines.basicmachine.fluidsolidifier.tier.04.name
gregtech:gt.blockmachines:525, gt.blockmachines.basicmachine.fluidsolidifier.tier.05.name
gregtech:gt.blockmachines:526, gt.blockmachines.basicmachine.fluidsolidifier.tier.06.name
gregtech:gt.blockmachines:527, gt.blockmachines.basicmachine.fluidsolidifier.tier.07.name
gregtech:gt.blockmachines:528, gt.blockmachines.basicmachine.fluidsolidifier.tier.08.name
gregtech:gt.blockmachines:531, gt.blockmachines.basicmachine.distillery.tier.01.name
gregtech:gt.blockmachines:532, gt.blockmachines.basicmachine.distillery.tier.02.name
gregtech:gt.blockmachines:533, gt.blockmachines.basicmachine.distillery.tier.03.name
gregtech:gt.blockmachines:534, gt.blockmachines.basicmachine.distillery.tier.04.name
gregtech:gt.blockmachines:535, gt.blockmachines.basicmachine.distillery.tier.05.name
gregtech:gt.blockmachines:536, gt.blockmachines.basicmachine.distillery.tier.06.name
gregtech:gt.blockmachines:537, gt.blockmachines.basicmachine.distillery.tier.07.name
gregtech:gt.blockmachines:538, gt.blockmachines.basicmachine.distillery.tier.08.name
gregtech:gt.blockmachines:541, gt.blockmachines.basicmachine.chemicalbath.tier.01.name
gregtech:gt.blockmachines:542, gt.blockmachines.basicmachine.chemicalbath.tier.02.name
gregtech:gt.blockmachines:543, gt.blockmachines.basicmachine.chemicalbath.tier.03.name
gregtech:gt.blockmachines:544, gt.blockmachines.basicmachine.chemicalbath.tier.04.name
gregtech:gt.blockmachines:545, gt.blockmachines.basicmachine.chemicalbath.tier.05.name
gregtech:gt.blockmachines:546, gt.blockmachines.basicmachine.chemicalbath.tier.06.name
gregtech:gt.blockmachines:547, gt.blockmachines.basicmachine.chemicalbath.tier.07.name
gregtech:gt.blockmachines:548, gt.blockmachines.basicmachine.chemicalbath.tier.08.name
gregtech:gt.blockmachines:551, gt.blockmachines.basicmachine.polarizer.tier.01.name
gregtech:gt.blockmachines:552, gt.blockmachines.basicmachine.polarizer.tier.02.name
gregtech:gt.blockmachines:553, gt.blockmachines.basicmachine.polarizer.tier.03.name
gregtech:gt.blockmachines:554, gt.blockmachines.basicmachine.polarizer.tier.04.name
gregtech:gt.blockmachines:555, gt.blockmachines.basicmachine.polarizer.tier.05.name
gregtech:gt.blockmachines:556, gt.blockmachines.basicmachine.polarizer.tier.06.name
gregtech:gt.blockmachines:557, gt.blockmachines.basicmachine.polarizer.tier.07.name
gregtech:gt.blockmachines:558, gt.blockmachines.basicmachine.polarizer.tier.08.name
gregtech:gt.blockmachines:561, gt.blockmachines.basicmachine.electromagneticseparator.tier.01.name
gregtech:gt.blockmachines:562, gt.blockmachines.basicmachine.electromagneticseparator.tier.02.name
gregtech:gt.blockmachines:563, gt.blockmachines.basicmachine.electromagneticseparator.tier.03.name
gregtech:gt.blockmachines:564, gt.blockmachines.basicmachine.electromagneticseparator.tier.04.name
gregtech:gt.blockmachines:565, gt.blockmachines.basicmachine.electromagneticseparator.tier.05.name
gregtech:gt.blockmachines:566, gt.blockmachines.basicmachine.electromagneticseparator.tier.06.name
gregtech:gt.blockmachines:567, gt.blockmachines.basicmachine.electromagneticseparator.tier.07.name
gregtech:gt.blockmachines:568, gt.blockmachines.basicmachine.electromagneticseparator.tier.08.name
gregtech:gt.blockmachines:571, gt.blockmachines.basicmachine.autoclave.tier.01.name
gregtech:gt.blockmachines:572, gt.blockmachines.basicmachine.autoclave.tier.02.name
gregtech:gt.blockmachines:573, gt.blockmachines.basicmachine.autoclave.tier.03.name
gregtech:gt.blockmachines:574, gt.blockmachines.basicmachine.autoclave.tier.04.name
gregtech:gt.blockmachines:575, gt.blockmachines.basicmachine.autoclave.tier.05.name
gregtech:gt.blockmachines:576, gt.blockmachines.basicmachine.autoclave.tier.06.name
gregtech:gt.blockmachines:577, gt.blockmachines.basicmachine.autoclave.tier.07.name
gregtech:gt.blockmachines:578, gt.blockmachines.basicmachine.autoclave.tier.08.name
gregtech:gt.blockmachines:581, gt.blockmachines.basicmachine.mixer.tier.01.name
gregtech:gt.blockmachines:582, gt.blockmachines.basicmachine.mixer.tier.02.name
gregtech:gt.blockmachines:583, gt.blockmachines.basicmachine.mixer.tier.03.name
gregtech:gt.blockmachines:584, gt.blockmachines.basicmachine.mixer.tier.04.name
gregtech:gt.blockmachines:585, gt.blockmachines.basicmachine.mixer.tier.05.name
gregtech:gt.blockmachines:586, gt.blockmachines.basicmachine.mixer.tier.06.name
gregtech:gt.blockmachines:587, gt.blockmachines.basicmachine.mixer.tier.07.name
gregtech:gt.blockmachines:588, gt.blockmachines.basicmachine.mixer.tier.08.name
gregtech:gt.blockmachines:591, gt.blockmachines.basicmachine.laserengraver.tier.01.name
gregtech:gt.blockmachines:592, gt.blockmachines.basicmachine.laserengraver.tier.02.name
gregtech:gt.blockmachines:593, gt.blockmachines.basicmachine.laserengraver.tier.03.name
gregtech:gt.blockmachines:594, gt.blockmachines.basicmachine.laserengraver.tier.04.name
gregtech:gt.blockmachines:595, gt.blockmachines.basicmachine.laserengraver.tier.05.name
gregtech:gt.blockmachines:596, gt.blockmachines.basicmachine.laserengraver.tier.06.name
gregtech:gt.blockmachines:597, gt.blockmachines.basicmachine.laserengraver.tier.07.name
gregtech:gt.blockmachines:598, gt.blockmachines.basicmachine.laserengraver.tier.08.name
gregtech:gt.blockmachines:601, gt.blockmachines.basicmachine.press.tier.01.name
gregtech:gt.blockmachines:602, gt.blockmachines.basicmachine.press.tier.02.name
gregtech:gt.blockmachines:603, gt.blockmachines.basicmachine.press.tier.03.name
gregtech:gt.blockmachines:604, gt.blockmachines.basicmachine.press.tier.04.name
gregtech:gt.blockmachines:605, gt.blockmachines.basicmachine.press.tier.05.name
gregtech:gt.blockmachines:606, gt.blockmachines.basicmachine.press.tier.06.name
gregtech:gt.blockmachines:607, gt.blockmachines.basicmachine.press.tier.07.name
gregtech:gt.blockmachines:608, gt.blockmachines.basicmachine.press.tier.08.name
gregtech:gt.blockmachines:611, gt.blockmachines.basicmachine.hammer.tier.01.name
gregtech:gt.blockmachines:612, gt.blockmachines.basicmachine.hammer.tier.02.name
gregtech:gt.blockmachines:613, gt.blockmachines.basicmachine.hammer.tier.03.name
gregtech:gt.blockmachines:614, gt.blockmachines.basicmachine.hammer.tier.04.name
gregtech:gt.blockmachines:615, gt.blockmachines.basicmachine.hammer.tier.05.name
gregtech:gt.blockmachines:616, gt.blockmachines.basicmachine.hammer.tier.06.name
gregtech:gt.blockmachines:617, gt.blockmachines.basicmachine.hammer.tier.07.name
gregtech:gt.blockmachines:618, gt.blockmachines.basicmachine.hammer.tier.08.name
gregtech:gt.blockmachines:621, gt.blockmachines.basicmachine.fluidheater.tier.01.name
gregtech:gt.blockmachines:622, gt.blockmachines.basicmachine.fluidheater.tier.02.name
gregtech:gt.blockmachines:623, gt.blockmachines.basicmachine.fluidheater.tier.03.name
gregtech:gt.blockmachines:624, gt.blockmachines.basicmachine.fluidheater.tier.04.name
gregtech:gt.blockmachines:625, gt.blockmachines.basicmachine.fluidheater.tier.05.name
gregtech:gt.blockmachines:626, gt.blockmachines.basicmachine.fluidheater.tier.06.name
gregtech:gt.blockmachines:627, gt.blockmachines.basicmachine.fluidheater.tier.07.name
gregtech:gt.blockmachines:628, gt.blockmachines.basicmachine.fluidheater.tier.08.name
gregtech:gt.blockmachines:631, gt.blockmachines.basicmachine.slicer.tier.01.name
gregtech:gt.blockmachines:632, gt.blockmachines.basicmachine.slicer.tier.02.name
gregtech:gt.blockmachines:633, gt.blockmachines.basicmachine.slicer.tier.03.name
gregtech:gt.blockmachines:634, gt.blockmachines.basicmachine.slicer.tier.04.name
gregtech:gt.blockmachines:635, gt.blockmachines.basicmachine.slicer.tier.05.name
gregtech:gt.blockmachines:636, gt.blockmachines.basicmachine.slicer.tier.06.name
gregtech:gt.blockmachines:637, gt.blockmachines.basicmachine.slicer.tier.07.name
gregtech:gt.blockmachines:638, gt.blockmachines.basicmachine.slicer.tier.08.name
gregtech:gt.blockmachines:641, gt.blockmachines.basicmachine.sifter.tier.01.name
gregtech:gt.blockmachines:642, gt.blockmachines.basicmachine.sifter.tier.02.name
gregtech:gt.blockmachines:643, gt.blockmachines.basicmachine.sifter.tier.03.name
gregtech:gt.blockmachines:644, gt.blockmachines.basicmachine.sifter.tier.04.name
gregtech:gt.blockmachines:645, gt.blockmachines.basicmachine.sifter.tier.05.name
gregtech:gt.blockmachines:646, gt.blockmachines.basicmachine.sifter.tier.06.name
gregtech:gt.blockmachines:647, gt.blockmachines.basicmachine.sifter.tier.07.name
gregtech:gt.blockmachines:648, gt.blockmachines.basicmachine.sifter.tier.08.name
gregtech:gt.blockmachines:651, gt.blockmachines.basicmachine.arcfurnace.tier.01.name
gregtech:gt.blockmachines:652, gt.blockmachines.basicmachine.arcfurnace.tier.02.name
gregtech:gt.blockmachines:653, gt.blockmachines.basicmachine.arcfurnace.tier.03.name
gregtech:gt.blockmachines:654, gt.blockmachines.basicmachine.arcfurnace.tier.04.name
gregtech:gt.blockmachines:655, gt.blockmachines.basicmachine.arcfurnace.tier.05.name
gregtech:gt.blockmachines:656, gt.blockmachines.basicmachine.arcfurnace.tier.06.name
gregtech:gt.blockmachines:657, gt.blockmachines.basicmachine.arcfurnace.tier.07.name
gregtech:gt.blockmachines:658, gt.blockmachines.basicmachine.arcfurnace.tier.08.name
gregtech:gt.blockmachines:661, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.01.name
gregtech:gt.blockmachines:662, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.02.name
gregtech:gt.blockmachines:663, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.03.name
gregtech:gt.blockmachines:664, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.04.name
gregtech:gt.blockmachines:665, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.05.name
gregtech:gt.blockmachines:666, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.06.name
gregtech:gt.blockmachines:667, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.07.name
gregtech:gt.blockmachines:668, gt.blockmachines.basicmachine.plasmaarcfurnace.tier.08.name
gregtech:gt.blockmachines:671, gt.blockmachines.basicmachine.e_oven.tier.01.name
gregtech:gt.blockmachines:672, gt.blockmachines.basicmachine.e_oven.tier.02.name
gregtech:gt.blockmachines:673, gt.blockmachines.basicmachine.e_oven.tier.03.name
gregtech:gt.blockmachines:674, gt.blockmachines.basicmachine.e_oven.tier.04.name
gregtech:gt.blockmachines:675, gt.blockmachines.basicmachine.e_oven.tier.05.name
gregtech:gt.blockmachines:676, gt.blockmachines.basicmachine.e_oven.tier.06.name
gregtech:gt.blockmachines:677, gt.blockmachines.basicmachine.e_oven.tier.07.name
gregtech:gt.blockmachines:678, gt.blockmachines.basicmachine.e_oven.tier.08.name
gregtech:gt.blockmachines:690, gt.blockmachines.batterycharger.16.tier.00.name
gregtech:gt.blockmachines:691, gt.blockmachines.batterycharger.16.tier.01.name
gregtech:gt.blockmachines:692, gt.blockmachines.batterycharger.16.tier.02.name
gregtech:gt.blockmachines:693, gt.blockmachines.batterycharger.16.tier.03.name
gregtech:gt.blockmachines:694, gt.blockmachines.batterycharger.16.tier.04.name
gregtech:gt.blockmachines:695, gt.blockmachines.batterycharger.16.tier.05.name
gregtech:gt.blockmachines:696, gt.blockmachines.batterycharger.16.tier.06.name
gregtech:gt.blockmachines:697, gt.blockmachines.batterycharger.16.tier.07.name
gregtech:gt.blockmachines:698, gt.blockmachines.batterycharger.16.tier.08.name
gregtech:gt.blockmachines:699, gt.blockmachines.batterycharger.16.tier.09.name
gregtech:gt.blockmachines:1000, gt.blockmachines.multimachine.blastfurnace.name
gregtech:gt.blockmachines:1001, gt.blockmachines.multimachine.implosioncompressor.name
gregtech:gt.blockmachines:1002, gt.blockmachines.multimachine.vacuumfreezer.name
gregtech:gt.blockmachines:1003, gt.blockmachines.multimachine.multifurnace.name
gregtech:gt.blockmachines:1020, gt.blockmachines.multimachine.boiler.bronze.name
gregtech:gt.blockmachines:1021, gt.blockmachines.multimachine.boiler.steel.name
gregtech:gt.blockmachines:1022, gt.blockmachines.multimachine.boiler.titanium.name
gregtech:gt.blockmachines:1023, gt.blockmachines.multimachine.boiler.tungstensteel.name
gregtech:gt.blockmachines:1110, gt.blockmachines.basicgenerator.diesel.tier.01.name
gregtech:gt.blockmachines:1111, gt.blockmachines.basicgenerator.diesel.tier.02.name
gregtech:gt.blockmachines:1112, gt.blockmachines.basicgenerator.diesel.tier.03.name
gregtech:gt.blockmachines:1115, gt.blockmachines.basicgenerator.gasturbine.tier.01.name
gregtech:gt.blockmachines:1116, gt.blockmachines.basicgenerator.gasturbine.tier.02.name
gregtech:gt.blockmachines:1117, gt.blockmachines.basicgenerator.gasturbine.tier.03.name
gregtech:gt.blockmachines:1120, gt.blockmachines.basicgenerator.steamturbine.tier.01.name
gregtech:gt.blockmachines:1121, gt.blockmachines.basicgenerator.steamturbine.tier.02.name
gregtech:gt.blockmachines:1122, gt.blockmachines.basicgenerator.steamturbine.tier.03.name
gregtech:gt.blockmachines:1123, gt.blockmachines.basicgenerator.magicenergyconverter.tier.01.name
gregtech:gt.blockmachines:1124, gt.blockmachines.basicgenerator.magicenergyconverter.tier.02.name
gregtech:gt.blockmachines:1125, gt.blockmachines.basicgenerator.magicenergyconverter.tier.03.name
gregtech:gt.blockmachines:1126, gt.blockmachines.multimachine.distillationtower.name
gregtech:gt.blockmachines:1127, gt.blockmachines.basicgenerator.magicenergyabsorber.tier.01.name
gregtech:gt.blockmachines:1128, gt.blockmachines.basicgenerator.magicenergyabsorber.tier.02.name
gregtech:gt.blockmachines:1129, gt.blockmachines.basicgenerator.magicenergyabsorber.tier.03.name
gregtech:gt.blockmachines:1130, gt.blockmachines.basicgenerator.magicenergyabsorber.tier.04.name
gregtech:gt.blockmachines:1131, gt.blockmachines.multimachine.largeturbine.name
gregtech:gt.blockmachines:1135, gt.blockmachines.basicmachine.mobrep.tier.06.name
gregtech:gt.blockmachines:1136, gt.blockmachines.basicmachine.mobrep.tier.07.name
gregtech:gt.blockmachines:1137, gt.blockmachines.basicmachine.mobrep.tier.08.name
gregtech:gt.blockmachines:1140, gt.blockmachines.basicmachine.pump.tier.01.name
gregtech:gt.blockmachines:1141, gt.blockmachines.basicmachine.pump.tier.02.name
gregtech:gt.blockmachines:1142, gt.blockmachines.basicmachine.pump.tier.03.name
gregtech:gt.blockmachines:1143, gt.blockmachines.basicmachine.pump.tier.04.name
gregtech:gt.blockmachines:1144, gt.blockmachines.basicmachine.pump.tier.05.name
gregtech:gt.blockmachines:1145, gt.blockmachines.basicmachine.teleporter.name
gregtech:gt.blockmachines:1146, gt.blockmachines.basicmachine.mobrep.tier.01.name
gregtech:gt.blockmachines:1147, gt.blockmachines.basicmachine.mobrep.tier.02.name
gregtech:gt.blockmachines:1148, gt.blockmachines.basicmachine.mobrep.tier.03.name
gregtech:gt.blockmachines:1149, gt.blockmachines.basicmachine.mobrep.tier.04.name
gregtech:gt.blockmachines:1150, gt.blockmachines.basicmachine.mobrep.tier.05.name
gregtech:gt.blockmachines:1151, gt.blockmachines.multimachine.largegasturbine.name
gregtech:gt.blockmachines:1152, gt.blockmachines.multimachine.largehpturbine.name
gregtech:gt.blockmachines:1153, gt.blockmachines.multimachine.largeplasmaturbine.name
gregtech:gt.blockmachines:1154, gt.blockmachines.multimachine.heatexchanger.name
gregtech:gt.blockmachines:1155, gt.blockmachines.multimachine.charcoalpile.name
